,X1,X1_1,Name,Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee_km,Apogee_km,Eccentricity,Inclination (degrees),Period (minutes),Launch,Dry,Power (watts),Date,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,launch_date,launch_year,Launch Year
1711,1712,1712,ORBCOMM FM-31 (ORBCOMM D3),ORBCOMM FM-31,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,788,795,0.000489,45,100.7,45,22,160,12/4/99,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065B,25981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/4/99,1999,1999
1712,1713,1713,ORBCOMM FM-32 (ORBCOMM D4),ORBCOMM FM-32,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,786,796,0.000698,45,100.7,45,22,160,12/4/99,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065C,25982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/4/99,1999,1999
1713,1714,1714,ORBCOMM FM-35 (ORBCOMM D7),ORBCOMM FM-35,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,788,795,0.000489,45,100.7,45,22,160,12/4/99,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065F,25985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/4/99,1999,1999
1714,1715,1715,ORBCOMM FM-36 (ORBCOMM D8),ORBCOMM FM-36,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,788,795,0.000489,45,100.7,45,22,160,12/4/99,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065E,25984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/4/99,1999,1999
1715,1716,1716,ORBCOMM FM-4 (ORBCOMM G2),ORBCOMM FM-4,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Polar,0,768,838,0.00488,108,100.9,45,22,160,2/10/98,5,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,1998-007C,25159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/10/98,1998,1998
1716,1717,1717,ORBCOMM FM-5 (ORBCOMM A6),ORBCOMM FM-5,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,772,774,0.00014,45,100.3,45,22,160,12/23/97,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084F,25117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/97,1997,1997
1717,1718,1718,ORBCOMM FM-6 (ORBCOMM A7),ORBCOMM FM-6,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,772,774,0.00014,45,100.3,45,22,160,12/23/97,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084G,25118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/97,1997,1997
1718,1719,1719,ORBCOMM FM-7 (ORBCOMM A8),ORBCOMM FM-7,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,771,774,0.00021,45,100.3,45,22,160,12/23/97,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084H,25119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/97,1997,1997
1719,1720,1720,ORBCOMM FM-8 (ORBCOMM A1),ORBCOMM FM-8,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,768,778,7.00E-04,45,100.3,45,22,160,12/23/97,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084A,25112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/97,1997,1997
1720,1721,1721,ORBCOMM FM-9 (ORBCOMM A5),ORBCOMM FM-9,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,769,777,0.00056,45,100.3,45,22,160,12/23/97,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084E,25116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/97,1997,1997
1721,1722,1722,ORBCOMM OG2 FM-103,ORBCOMM FM-103,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,620,741,0.00858,47,98.36,172,NA,400,7/14/14,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2014-040F,40091,Next generation of Orbcomm satellites.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/14/14,2014,2014
1722,1723,1723,ORBCOMM OG2 FM-107,ORBCOMM FM-107,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,620,739,0.00844,47,98.34,172,NA,400,7/14/14,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2014-040B,40087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/14/14,2014,2014
1723,1724,1724,ORBCOMM OG2 FM-108,ORBCOMM FM-108,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,614,657,0.00307,47,97.42,172,NA,400,12/22/15,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081J,41187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/22/15,2015,2015
1724,1725,1725,ORBCOMM OG2 FM-109,ORBCOMM FM-109,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,620,739,0.00844,47,98.34,172,NA,400,7/14/14,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2014-040A,40086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/14/14,2014,2014
1725,1726,1726,ORBCOMM OG2 FM-110,ORBCOMM FM-110,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,615,658,0.00307,47,97.44,172,NA,400,12/22/15,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081D,41182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/22/15,2015,2015
1726,1727,1727,ORBCOMM OG2 FM-112,ORBCOMM FM-112,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,614,657,0.00307,47,97.43,172,NA,400,12/22/15,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081F,41184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/22/15,2015,2015
1727,1728,1728,ORBCOMM OG2 FM-113,ORBCOMM FM-113,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,614,656,0.003,47,97.41,172,NA,400,12/22/15,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081G,41185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/22/15,2015,2015
1728,1729,1729,ORBCOMM OG2 FM-114,ORBCOMM FM-114,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,614,658,0.00314,47,97.43,172,NA,400,12/22/15,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081A,41179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/22/15,2015,2015
1729,1730,1730,ORBCOMM OG2 FM-115,ORBCOMM FM-115,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,613,655,0.003,47,97.39,172,NA,400,12/22/15,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081H,41186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/22/15,2015,2015
1730,1731,1731,ORBCOMM OG2 FM-116,ORBCOMM FM-116,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,614,654,0.00286,47,97.4,172,NA,400,12/22/15,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081L,41189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/22/15,2015,2015
1731,1732,1732,ORBCOMM OG2 FM-117,ORBCOMM FM-117,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,614,656,0.003,47,97.42,172,NA,400,12/22/15,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081K,41188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/22/15,2015,2015
1732,1733,1733,ORBCOMM OG2 FM-118,ORBCOMM FM-118,USA,USA,ORBCOMM Inc.,Commercial,Communication,NA,LEO,Non-Polar Inclined,0,615,658,0.00307,47,97.44,172,NA,400,12/22/15,5,Boeing Corp./Sierra Nevada Corp.,USA,Cape Canaveral,Falcon 9,2015-081E,41183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/22/15,2015,2015
1733,1734,1734,Orbital Factory-2,Orbital Factory-2,USA,USA,University of Texas at El Paso,Civil,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,459,474,0.0011,51.6,93.9,2,NA,NA,1/31/20,NA,University of Texas at El Paso,USA,Cygnus,Nanoracks Deployer,2019-071C,45113,Test additive manufacturing --  or 3D printing -- utilizing conductive polymers to perform the simulated repair of a solar array junction in orbit.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/31/20,2020,2020
1734,1735,1735,Orbweaver-1,Orbweaver-1,NR,USA,DARPA/Tethers Unlimited,Military,Navigation/Technology,NA,LEO,Sun-Synchronous,0,572,587,0.00108,97.7,96.3,NA,NA,NA,12/3/18,NA,Firmamentum,USA,Vandenberg AFB,Falcon 9,2018-099AP,43795,Technology demonstration mission.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/3/18,2018,2018
1735,1736,1736,Orbweaver-2,Orbweaver-2,NR,USA,DARPA/Tethers Unlimited,Military,Navigation/Technology,NA,LEO,Sun-Synchronous,0,572,592,0.00144,97.7,96.3,NA,NA,NA,12/3/18,NA,Firmamentum,USA,Vandenberg AFB,Falcon 9,2018-099AD,43785,Technology demonstration mission.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/3/18,2018,2018
1736,1737,1737,ORCA-1,ORCA-1,NR,USA,Defense Advanced Research Projects Agency (DARPA),Military,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,465,480,0.0011,51.6,93.9,9,NA,NA,8/8/19,NA,"SEOPS, Blue Canyon",USA,Cygnus,SEOPS Slingshot deployer,2019-071Q,45125,Technology development.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/8/19,2019,2019
1737,1738,1738,"ORS-5 (Operationally Responsive Space-5, SensorSat)",ORS-5,USA,USA,USAF /ORSO (Operationally Responsive Space Office),Military,Navigation/Technology,NA,LEO,Equatorial,0,599,604,0.000359,0,96.7,140,NA,NA,8/26/17,3,MIT Lincoln Laboratory,USA,Cape Canaveral,Minotaur 4,2017-050A,42921,Space situational awareness. Tracking debris and other objects in space.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/26/17,2017,2017
1738,1739,1739,OTB-1 (Orbital Test Bed 1),OTB-1,USA,USA,General Atomics - Electromagnetic Systems Group,Commercial,Navigation/Technology,NA,LEO,Sun-Synchronous,0,706,723,0.0012,24,99,138,NA,NA,6/25/19,25,Surrey Satellite Technology Ltd.,UK,Cape Canaveral,Falcon Heavy,2019-036C,44341,"One of the payloads is NASA's DSAC (Deep Space Atomic Clock), a technology demonstration mission to validate a miniaturized, ultra-precise mercury-ion atomic clock that is 100 times more stable than today’s best navigation clocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/25/19,2019,2019
1739,1740,1740,Painani-1,Painani-1,Mexico,Mexico,Mexico Secretariat of National Defense (SEDENA),Military,Earth Observation/Science,Optical Imaging,LEO,Non-Polar Inclined,0,447,460,0.000953,45,93.6,4,NA,NA,6/29/19,NA,AIVT by Mexican University of the Army and Air Force,Mexico,Rocket Lab Launch Complex 1,Electron,2019-037A,44365,Low resolution earth observation.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/29/19,2019,2019
1740,1741,1741,Paksat-1R,Paksat-1R,Pakistan,Pakistan,Pakistan Space and Upper Atmosphere Research Commission (SUPARCO)/PakSat International,Government/Commercial,Communication,NA,GEO,NA,38,35786,35800,0.000166,0.1,1436.1,5120,2100,NA,8/11/11,15,China Aerospace Science and Technology Corp. (CASC),China,Xichang Satellite Launch Center,Long March 3B,2011-042A,37779,"12 C-band, 18 Ku-band.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/11/11,2011,2011
1741,1742,1742,PakTES-1a,PakTES-1a,Pakistan,Pakistan,Pakistan Space and Upper Atmosphere Research Commission (SUPARCO),Government,Earth Observation/Science,Optical Imaging,LEO,Sun-Synchronous,0,594,628,0.00244,98,96.9,285,NA,NA,7/9/18,3,CAST/DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2C,2018-056B,43530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/9/18,2018,2018
1742,1743,1743,Palapa D1,Palapa D1,China,Indonesia,PT Indosat,Commercial,Communication,NA,GEO,NA,150.97,35780,35792,0.000142,0.07,1436.09,4100,NA,"6,000",8/31/09,15,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,2009-046A,35812,"Third stage of rocket put it in a low transfer orbit, but was able to maneuver; reduced service life.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/31/09,2009,2009
1743,1744,1744,Palisade,Palisade,New Zealand,USA,Astro Digital,Commercial,Navigation/Technology,NA,LEO,Polar,0,1207,1223,0.00105,87.9,109.8,20,NA,NA,10/17/19,NA,Astro Digital,USA,Rocket Lab Launch Complex 1,Electron,2019-069A,44634,Technology demonstration mission.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/17/19,2019,2019
1744,1745,1745,"PAN-1 (Nemesis, Palladium at Night, P360, USA 207)",USA 207,USA,USA,Unknown US intelligence agency,Military,Earth Observation/Science,Electronic Intelligence,GEO,NA,47.7,35786,35787,1.19E-05,0.03,1436.12,NA,NA,NA,9/8/09,NA,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2009-047A,35815,Thought to be a new generation military communications satellite. The operating agency was not announced; appears to be related to the U. S. Navy’s Ultra-High Frequency (UFO) Follow-On program constellation of geosynchronous communications spacecraft because of the monitored frequencies emanating from the spacecraft launched in earth orbit.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/8/09,2009,2009
1745,1746,1746,ParkinsonSat-2 (Navy-Oscar-104),ParkinsonSat-2,USA,USA,US Naval Academy,Military,Navigation/Technology,NA,Elliptical,Sad-Synchronous,0,306,848,0.039,28.5,96.2,6,NA,NA,6/25/19,NA,US Naval Academy,USA,Cape Canaveral,Falcon Heavy,2019-036R,44354,"Employs a two-way communications transponder to relay remote telemetry, sensor and user data from remote environmental experiments (in the ground segment) or other data sources back to experimenters via a global network of Internet linked volunteer ground stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/25/19,2019,2019
1746,1747,1747,"Pathfinder II (Sirion, Helios)",Pathfinder II,Australia,USA,Helios Wire/Echostar Global Australia,Commercial,Communication,Internet of Things (IoT),LEO,Sun-Synchronous,0,574,592,0.00129,97.7,96.3,20,NA,NA,12/3/18,NA,Astro Digital,USA,Vandenberg AFB,Falcon 9,2018-099B,43759,Part of a planned constellation of 20 satellites to serve the Internet of Things connectivity market. Helios Wire acquired by Echostar at the end of 2019.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/3/18,2018,2018
1747,1748,1748,Paz,Paz,Spain,Spain,Hisdesat,Military/Commercial,Earth Observation/Science,Radar Imaging,LEO,Sun-Synchronous,0,503,518,0.00109,97.4,94.8,1450,NA,NA,2/22/18,NA,Airbus Defense and Space,France/UK/Spain,Vandenberg AFB,Falcon 9,2018-020A,43215,X-band radar imaging. Will share orbit with 2 German radar satellites -- TerraSAR-X and TanDEM-X and coordinate with them. Part of ESA's Copernicus mission.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/22/18,2018,2018
1748,1749,1749,Pearl White 1,Pearl White 1,USA,USA,Tiger Innovations,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,533,550,0.00123,45.01,95.5,8,NA,NA,8/19/19,NA,Tiger Innovations,USA,Rocket Lab Launch Complex 1,Electron,2019-054C,44497,Technology demonstration for Air Force Space Command,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/19/19,2019,2019
1749,1750,1750,Pearl White 2,Pearl White 2,USA,USA,Tiger Innovations,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,532,549,0.00123,45.01,95.5,8,NA,NA,8/19/19,NA,Tiger Innovations,USA,Rocket Lab Launch Complex 1,Electron,2019-054D,44498,Technology demonstration for Air Force Space Command,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/19/19,2019,2019
1750,1751,1751,PEASSS (PiezoElectric Assisted Small Satellite),PEASSS,NR,Netherlands,Netherlands Organization for Applied Scientific Research (NTO) consortium,Government,Navigation/Technology,NA,LEO,Sun-Synchronous,0,494,504,0.000728,97.5,94.6,10,NA,NA,2/15/17,1,Netherlands Organization for Applied Scientific Research (NTO) consortium,Netherlands,Satish Dhawan Space Centre,PSLV XL,2017-008BV,42015,"NTO-led consortium to develop ""smart structures"" for space.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/15/17,2017,2017
1751,1752,1752,Pegasus (QB 50),Pegasus,Austria,Austria,Technical University Vienna/University of Applied Sciences (FHWN),Civil,Navigation/Technology,NA,LEO,Sun-Synchronous,0,487,505,0.00131,97.3,94.5,3,NA,NA,6/23/17,NA,University of Applied Sciences/Technical University Vienna,Austria,Satish Dhawan Space Centre,PSLV,2017-036V,42784,First 2U cubesat built by Austria.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/23/17,2017,2017
1752,1753,1753,Perseus M1,Perseus M1,NR,Russia/USA,Dauria Aerospace,Commercial,Communication,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,607,625,0.00129,97.99,96.99,6,NA,NA,6/19/14,NA,Dauria Aerospace/Canopus Systems,Russia/USA,Dombarovsky Air Base,Dnepr,2014-033AF,40039,Carry an AIS payload.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/19/14,2014,2014
1753,1754,1754,Perseus M2,Perseus M2,NR,Russia/USA,Dauria Aerospace,Commercial,Communication,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,606,624,0.00129,97.99,96.99,6,NA,NA,6/19/14,NA,Dauria Aerospace/Canopus Systems,Russia/USA,Dombarovsky Air Base,Dnepr,2014-033AD,40037,Carry an AIS payload.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/19/14,2014,2014
1754,1755,1755,Persona-2 (Cosmos 2486),Cosmos 2486,Russia,Russia,Ministry of Defense,Military,Earth Observation/Science,Optical Imaging,LEO,Sun-Synchronous,0,714,733,0.00134,98.3,99.2,7000,NA,NA,6/7/13,5,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2013-028A,39177,"New class of optical reconnaissance satellites. First one, Persona-1, failed soon after launch in 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/7/13,2013,2013
1755,1756,1756,Persona-3 (Cosmos 2506),Cosmos 2506,Russia,Russia,Ministry of Defense,Military,Earth Observation/Science,Optical Imaging,LEO,Sun-Synchronous,0,706,725,0.00134,98.5,99,7000,NA,NA,6/23/15,5,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2015-029A,40699,"New class of optical reconnaissance satellites. First one, Persona-1, failed soon after launch in 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/23/15,2015,2015
1756,1757,1757,PeruSat-1,PeruSat-1,Peru,Peru,Peruvian Space Agency,Government,Earth Observation/Science,Optical Imaging,LEO,Sun-Synchronous,0,704,705,7.07E-05,98.2,98.7,430,NA,NA,9/16/16,10,Airbus Defense and Space,France,Guiana Space Center,Vega,2016-058A,41770,"Monitor agricultural growth, support urban planning, help enforce Peru’s borders, respond to natural disasters, and combat drug trafficking and detect illegal mining and logging damaging the delicate rainforest ecosystem in remote parts of the country.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/16/16,2016,2016
1757,1758,1758,PICASSO (Pico-Satellite for Atmospheric and Space Science Observations),PICASSO,Belgium,ESA,European Space Agency (ESA),Government,Navigation/Technology,NA,LEO,Sun-Synchronous,0,534,536,0.000145,97.4,95.5,4,NA,NA,9/2/20,2,Clyde Space Ltd./Technical Research Centre of Finland/Centre Spatial of Liège,UK/Finland/Belgium,Guiana Space Center,Vega,2020-061K,46281,Develop and operate a scientific 3U CubeSat.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/20,2020,2020
1758,1759,1759,PISAT,PISAT,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Technology,Optical Imaging,LEO,Sun-Synchronous,0,661,704,0.00305,98.2,94.8,6,NA,NA,9/26/16,NA,"PES University, Bengaluru",India,Satish Dhawan Space Centre,PSLV,2016-059B,41784,Student-built satellite for remote sensing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/26/16,2016,2016
