,X1,X1_1,Name,Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee_km,Apogee_km,Eccentricity,Inclination (degrees),Period (minutes),Launch,Dry,Power (watts),Date,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,launch_date,launch_year,Launch Year
21,21,21,"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",USA 292,USA,USA,US Air Force,Military,Communication,NA,GEO,NA,-94.39,35780,35810,0.000356,6.4,1436.2,6169,NA,NA,8/8/19,NA,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/8/19,2019,2019
22,22,22,"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA 298,USA,USA,US Air Force,Military,Communication,NA,GEO,NA,0,35780,35780,0,0,1436,6169,NA,NA,3/26/20,NA,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2020-022B,45465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/26/20,2020,2020
23,23,23,Aeneas,Aeneas,USA,USA,Department of Homeland Security,Government,Navigation/Technology,NA,LEO,Equatorial,0,480,790,0.0221,0.02,97.4,3,NA,NA,9/13/12,NA,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonstration program to track cargo containers worldwide.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/13/12,2012,2012
24,24,24,Aeolus,Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation/Science,Earth Science,LEO,NA,0,314,317,0.000224,96.7,92.4,1367,NA,NA,8/22/18,3,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/22/18,2018,2018
25,25,25,Aerocube 10A (Jimsat),Aerocube 10A,USA,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,469,481,0.000877,51.6,94.15,2,NA,NA,8/9/19,NA,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/9/19,2019,2019
26,26,26,Aerocube 10B (Dougsat),Aerocube 10B,USA,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,471,483,0.000876,51.6,94.15,2,NA,NA,8/9/19,NA,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/9/19,2019,2019
27,27,27,Aerocube 11A (TOMSat Eagle Scout),Aerocube 11A,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Polar,0,495,511,0.00116,85.03,94.6,4,NA,NA,12/17/18,NA,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Will test miniaturized imagers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/17/18,2018,2018
28,28,28,Aerocube 11B (TOMSat R3),Aerocube 11B,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Polar,0,492,511,0.00138,85.3,94.6,4,NA,NA,12/17/18,NA,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Will test miniaturized imagers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/17/18,2018,2018
29,29,29,Aerocube 12A,Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,481,487,0.000438,51.6,94.2,4,NA,NA,7/16/18,NA,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/16/18,2018,2018
30,30,30,Aerocube 12B,Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,481,487,0.000438,51.6,94.2,4,NA,NA,7/16/18,NA,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/16/18,2018,2018
